County,Year,UnE Rate
Monterey,2010,13.18
Monterey,2011,12.37272727
Monterey,2012,9.666666667
Monterey,2013,10.28333333
Monterey,2014,9.116666667
Monterey,2015,8.158333333
Monterey,2016,7.718181818
Napa,2009,8.358333333
Napa,2010,10.33
Napa,2011,9.672727273
Napa,2012,7.833333333
Napa,2013,6.866666667
Napa,2014,5.666666667
Napa,2015,4.616666667
Napa,2016,4.2
Nevada,2009,10.26666667
Nevada,2010,11.78
Nevada,2011,11.01818182
Nevada,2012,9.733333333
Nevada,2013,8.1
Nevada,2014,6.541666667
Nevada,2015,5.458333333
Nevada,2016,4.790909091
Orange,2009,8.65
Orange,2010,9.74
Orange,2011,9.027272727
Orange,2012,7.866666667
Orange,2013,6.616666667
Orange,2014,5.475
Orange,2015,4.483333333
Orange,2016,4.045454545
Placer,2009,10.16666667
Placer,2010,11.62
Placer,2011,10.76363636
Placer,2012,9.266666667
Placer,2013,7.716666667
Placer,2014,6.241666667
Placer,2015,5.041666667
Placer,2016,4.5
Plumas,2009,15.49166667
Plumas,2010,18.57
Plumas,2011,17.17272727
Plumas,2012,14.03333333
Plumas,2013,13.91666667
Plumas,2014,11.6
Plumas,2015,10.45
Plumas,2016,9.790909091
Riverside,2009,13.10833333
Riverside,2010,13.85
Riverside,2011,13.14545455
Riverside,2012,11.53333333
Riverside,2013,9.9
Riverside,2014,8.183333333
Riverside,2015,6.716666667
Riverside,2016,6.172727273
Sacramento,2009,11.01666667
Sacramento,2010,12.64
Sacramento,2011,12.05454545
Sacramento,2012,10.33333333
Sacramento,2013,8.85
Sacramento,2014,7.308333333
Sacramento,2015,6
Sacramento,2016,5.436363636
San Benito,2009,13.925
San Benito,2010,15.16
San Benito,2011,14.32727273
San Benito,2012,12.5
San Benito,2013,10.96666667
San Benito,2014,9.308333333
San Benito,2015,7.625
San Benito,2016,6.718181818
San Bernardino,2009,12.65
San Bernardino,2010,13.54
San Bernardino,2011,12.83636364
San Bernardino,2012,11.4
San Bernardino,2013,9.75
San Bernardino,2014,7.991666667
San Bernardino,2015,6.45
San Bernardino,2016,5.790909091
San Diego,2009,9.383333333
San Diego,2010,10.77
San Diego,2011,10.29090909
San Diego,2012,9.033333333
San Diego,2013,7.833333333
San Diego,2014,6.433333333
San Diego,2015,5.2
San Diego,2016,4.718181818
San Francisco,2009,8.683333333
San Francisco,2010,8.92
San Francisco,2011,8.009090909
San Francisco,2012,6.7
San Francisco,2013,5.466666667
San Francisco,2014,4.366666667
San Francisco,2015,3.633333333
San Francisco,2016,3.327272727
San Joaquin,2009,14.94166667
San Joaquin,2010,16.54
San Joaquin,2011,16.04545455
San Joaquin,2012,13.66666667
San Joaquin,2013,12.28333333
San Joaquin,2014,10.525
San Joaquin,2015,8.891666667
San Joaquin,2016,8.154545455
San Luis Obispo,2009,8.816666667
San Luis Obispo,2010,10.05
San Luis Obispo,2011,9.536363636
San Luis Obispo,2012,8.1
San Luis Obispo,2013,6.783333333
San Luis Obispo,2014,5.558333333
San Luis Obispo,2015,4.625
San Luis Obispo,2016,4.227272727
San Mateo,2009,8.191666667
San Mateo,2010,8.37
San Mateo,2011,7.490909091
San Mateo,2012,6.4
San Mateo,2013,5.3
San Mateo,2014,4.208333333
San Mateo,2015,3.391666667
San Mateo,2016,3.036363636
Santa Barbara,2009,8.241666667
Santa Barbara,2010,9.8
Santa Barbara,2011,9.309090909
Santa Barbara,2012,7.966666667
Santa Barbara,2013,7.233333333
Santa Barbara,2014,6.1
Santa Barbara,2015,5.258333333
Santa Barbara,2016,4.972727273
Santa Clara,2009,10.59166667
Santa Clara,2010,10.41
Santa Clara,2011,9.254545455
Santa Clara,2012,7.766666667
Santa Clara,2013,6.466666667
Santa Clara,2014,5.133333333
Santa Clara,2015,4.15
Santa Clara,2016,3.763636364
Santa Cruz,2009,11.09166667
Santa Cruz,2010,13.43
Santa Cruz,2011,12.84545455
Santa Cruz,2012,10.63333333
Santa Cruz,2013,10.16666667
Santa Cruz,2014,8.741666667
Santa Cruz,2015,7.508333333
Santa Cruz,2016,6.936363636
Shasta,2009,14.35
Shasta,2010,16.87
Shasta,2011,15.77272727
Shasta,2012,13.6
Shasta,2013,11.75
Shasta,2014,9.6
Shasta,2015,7.808333333
Shasta,2016,7.081818182
Sierra,2009,14.95
Sierra,2010,15.64
Sierra,2011,14.60909091
Sierra,2012,13.03333333
Sierra,2013,12.65
Sierra,2014,10.075
Sierra,2015,8.958333333
Sierra,2016,7.936363636
Siskiyou,2009,14.26666667
Siskiyou,2010,17.04
Siskiyou,2011,16.70909091
Siskiyou,2012,14.06666667
Siskiyou,2013,13.1
Siskiyou,2014,11.09166667
Siskiyou,2015,9.408333333
