Total Contributions
332270
326227
306750
397741
350098
390399
427014
398849
446972
579
119
580
64
187
264
15370
15711
18059
18214
12455
14158
14590
14721
14440
1476
1451
820
1360
819
1035
444
59
192602
183226
177122
224362
187769
198949
205426
200854
208520
1212
1679
1169
1233
188
2952
1387
1522
731
18722
17515
11910
18599
13926
14960
14503
13879
14279
35030
34898
30582
37278
28244
28439
32646
24746
36966
240
440
69
191
25
85
11031
12322
9123
12612
12558
10828
12952
12788
10979
1635
1733
1313
1787
1626
1082
1798
1296
605
685
1088
1013
1028
803
599
1521
877
299
23344
23987
22830
24932
17579
18570
21712
20677
37184
2715
2868
3797
3577
3273
4663
2263
2061
3323
226
832
727
722
745
486
99
556
71
555
710
1105
1314
243
899
934
1979
682
699734
672295
665314
820584
761790
782113
883616
758446
789656
5691
2529
2670
2991
2327
1526
2202
421
1113
61594
59709
57611
68770
65223
60289
68100
66506
67836
1205
578
874
1574
375
1048
385
208
1109
4142
2895
3795
7192
4699
4718
2954
3179
4885
9685
6320
5941
6488
5032
7079
6054
3670
5580
1007
474
820
851
413
575
398
809
1168
30810
34206
33116
43979
37022
43860
48417
41408
41293
11392
13044
19156
21006
15428
18268
19858
15188
19124
10037
7920
9063
11921
7284
8236
9017
8837
10287
279268
300252
265971
304691
247297
256956
269524
256567
273593
45029
38076
38684
44538
36965
37396
41753
41009
42844
144
90
104675
99361
105993
115003
92990
84554
102290
78231
97861
176326
171750
152677
191897
144569
168296
179827
155218
164845
2709
3568
3147
2264
2953
3058
2180
2715
2443
88258
85961
79954
90613
69646
72648
81516
71333
77689
316524
331172
322541
390885
313155
339360
368843
338424
368564
178727
191880
253147
318268
271022
333593
371634
379237
446454
41818
38555
34395
39099
32513
31037
32044
29409
30398
24149
25066
24763
29187
25057
24324
26183
25531
33124
142215
141181
128354
168996
147559
167002
180545
177476
191119
49994
47254
36480
51992
40938
40997
42281
46973
43750
408085
398106
405565
483553
427000
497506
518381
539165
585736
53804
61860
55071
61282
59339
68351
70805
65681
74079
7720
7318
7425
7593
5939
7159
5799
5652
4353
210
178
278
312
317
245
51670
48653
51120
60807
46233
53750
55309
45925
52447
65357
63087
61063
82154
72180
68906
78239
69306
73705
22455
18749
18355
20703
15410
15773
15440
12830
12113
5001
2877
3426
4006
2641
1913
2797
977
3010
1566
1012
2320
1972
1019
313
124
170
226
7396
7897
8014
11054
6816
8243
7164
8009
6112
3611
2335
2664
4608
2555
3372
2162
1823
1309
71861
80336
69912
79941
75159
75230
75490
67077
75679
32507
35170
37436
44942
37365
40572
45067
47644
48168
2445
2539
2976
2800
1160
1767
1792
1250
1126
