County,Taxable Year,Total Contributions
Sacramento,2009,191897
Sacramento,2010,144569
Sacramento,2011,168296
Sacramento,2012,179827
Sacramento,2013,155218
Sacramento,2014,164845
San Benito,2006,2709
San Benito,2007,3568
San Benito,2008,3147
San Benito,2009,2264
San Benito,2010,2953
San Benito,2011,3058
San Benito,2012,2180
San Benito,2013,2715
San Benito,2014,2443
San Bernardino,2006,88258
San Bernardino,2007,85961
San Bernardino,2008,79954
San Bernardino,2009,90613
San Bernardino,2010,69646
San Bernardino,2011,72648
San Bernardino,2012,81516
San Bernardino,2013,71333
San Bernardino,2014,77689
San Diego,2006,316524
San Diego,2007,331172
San Diego,2008,322541
San Diego,2009,390885
San Diego,2010,313155
San Diego,2011,339360
San Diego,2012,368843
San Diego,2013,338424
San Diego,2014,368564
San Francisco,2006,178727
San Francisco,2007,191880
San Francisco,2008,253147
San Francisco,2009,318268
San Francisco,2010,271022
San Francisco,2011,333593
San Francisco,2012,371634
San Francisco,2013,379237
San Francisco,2014,446454
San Joaquin,2006,41818
San Joaquin,2007,38555
San Joaquin,2008,34395
San Joaquin,2009,39099
San Joaquin,2010,32513
San Joaquin,2011,31037
San Joaquin,2012,32044
San Joaquin,2013,29409
San Joaquin,2014,30398
San Luis Obispo,2006,24149
San Luis Obispo,2007,25066
San Luis Obispo,2008,24763
San Luis Obispo,2009,29187
San Luis Obispo,2010,25057
San Luis Obispo,2011,24324
San Luis Obispo,2012,26183
San Luis Obispo,2013,25531
San Luis Obispo,2014,33124
San Mateo,2006,142215
San Mateo,2007,141181
San Mateo,2008,128354
San Mateo,2009,168996
San Mateo,2010,147559
San Mateo,2011,167002
San Mateo,2012,180545
San Mateo,2013,177476
San Mateo,2014,191119
Santa Barbara,2006,49994
Santa Barbara,2007,47254
Santa Barbara,2008,36480
Santa Barbara,2009,51992
Santa Barbara,2010,40938
Santa Barbara,2011,40997
Santa Barbara,2012,42281
Santa Barbara,2013,46973
Santa Barbara,2014,43750
Santa Clara,2006,408085
Santa Clara,2007,398106
Santa Clara,2008,405565
Santa Clara,2009,483553
Santa Clara,2010,427000
Santa Clara,2011,497506
Santa Clara,2012,518381
Santa Clara,2013,539165
Santa Clara,2014,585736
Santa Cruz,2006,53804
Santa Cruz,2007,61860
Santa Cruz,2008,55071
Santa Cruz,2009,61282
Santa Cruz,2010,59339
Santa Cruz,2011,68351
Santa Cruz,2012,70805
Santa Cruz,2013,65681
Santa Cruz,2014,74079
Shasta,2006,7720
Shasta,2007,7318
Shasta,2008,7425
Shasta,2009,7593
Shasta,2010,5939
Shasta,2011,7159
Shasta,2012,5799
Shasta,2013,5652
Shasta,2014,4353
Siskiyou,2006,210
Siskiyou,2007,178
Siskiyou,2008,278
Siskiyou,2009,312
Siskiyou,2011,317
Siskiyou,2012,245
Solano,2006,51670
Solano,2007,48653
Solano,2008,51120
Solano,2009,60807
Solano,2010,46233
Solano,2011,53750
Solano,2012,55309
Solano,2013,45925
Solano,2014,52447
Sonoma,2006,65357
Sonoma,2007,63087
Sonoma,2008,61063
Sonoma,2009,82154
Sonoma,2010,72180
Sonoma,2011,68906
Sonoma,2012,78239
Sonoma,2013,69306
Sonoma,2014,73705
Stanislaus,2006,22455
Stanislaus,2007,18749
Stanislaus,2008,18355
Stanislaus,2009,20703
Stanislaus,2010,15410
Stanislaus,2011,15773
Stanislaus,2012,15440
Stanislaus,2013,12830
Stanislaus,2014,12113
Sutter,2006,5001
Sutter,2007,2877
Sutter,2008,3426
Sutter,2009,4006
Sutter,2010,2641
Sutter,2011,1913
Sutter,2012,2797
Sutter,2013,977
Sutter,2014,3010
Tehama,2006,1566
Tehama,2007,1012
Tehama,2008,2320
Tehama,2009,1972
Tehama,2010,1019
Tehama,2011,313
Tehama,2012,124
Tehama,2013,170
Tehama,2014,226
Tulare,2006,7396
Tulare,2007,7897
Tulare,2008,8014
Tulare,2009,11054
Tulare,2010,6816
Tulare,2011,8243
Tulare,2012,7164
Tulare,2013,8009
Tulare,2014,6112
Tuolumne,2006,3611
Tuolumne,2007,2335
Tuolumne,2008,2664
Tuolumne,2009,4608
Tuolumne,2010,2555
Tuolumne,2011,3372
Tuolumne,2012,2162
Tuolumne,2013,1823
Tuolumne,2014,1309
Ventura,2006,71861
Ventura,2007,80336
Ventura,2008,69912
Ventura,2009,79941
Ventura,2010,75159
Ventura,2011,75230
Ventura,2012,75490
Ventura,2013,67077
Ventura,2014,75679
Yolo,2006,32507
Yolo,2007,35170
Yolo,2008,37436
Yolo,2009,44942
Yolo,2010,37365
Yolo,2011,40572
Yolo,2012,45067
Yolo,2013,47644
Yolo,2014,48168
Yuba,2006,2445
Yuba,2007,2539
Yuba,2008,2976
Yuba,2009,2800
Yuba,2010,1160
Yuba,2011,1767
Yuba,2012,1792
Yuba,2013,1250
Yuba,2014,1126
